pid,stage,projectname,keywords,country,location,sector,subsector,totalbudget,financialstructure,eststart,estcompletion,developer,sponsor,lat,lng,geocode
3460,planning,Cardinal-Hickory Creek 345 kV Transmission Line Project,"transmission,energy,utilities,IA",United States,"Melbourne, IA",Energy,Transmission,500,Private,1111-11-11,2023-12-01,"American Transmission Company LLC by its corporate manager, ATC Management Inc., (together, &amp;quot;ATC&amp;quot;), and ITC Midwest LLC (&amp;quot;ITC Midwest&amp;quot;)",Dairyland Power Cooperative,41.941377,-93.103257,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Melbourne, IA United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Melbourne"",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":""IA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.941377,""lng"":-93.103257},""displayLatLng"":{""lat"":41.941377,""lng"":-93.103257}}]}]}"
3891,planning,Centennial Bowl: US Northwest Corridor Improvements Project Phase 3D,"interchange,NV,Centennial Bowl",United States,"Centennial Hills, Nevada",Transport,Highways,182,Public,2021-03-01,1111-11-11,,"Nevada DOT, City of Las Vegas, Clark County, Regional Transportation Commission of Southern Nevada (RTCSNV)",36.270423,-115.264929,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Centennial Hills, Nevada""},""locations"":[{""street"":"""",""adminArea6"":""Centennial Hills"",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Las Vegas"",""adminArea5Type"":""City"",""adminArea4"":""Clark County"",""adminArea4Type"":""County"",""adminArea3"":""NV"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""89149"",""geocodeQualityCode"":""A6XXX"",""geocodeQuality"":""NEIGHBORHOOD"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":36.270423,""lng"":-115.264929},""displayLatLng"":{""lat"":36.270423,""lng"":-115.264929}}]}]}"
3478,planning,New Jersey Back Bays Coastal Storm Risk Management Project,"new jersey,storm,risk mitigation,NJ",United States,Cape May,Water,Other,18,Public,2022-07-01,2026-07-01,,New Jersey Department of Environmental Protection; USACE,39.176539,-74.801212,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Cape May""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":""Cape May County"",""adminArea4Type"":""County"",""adminArea3"":""NJ"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A4XCX"",""geocodeQuality"":""COUNTY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.176539,""lng"":-74.801212},""displayLatLng"":{""lat"":39.176539,""lng"":-74.801212}}]}]}"
3846,planning,Connecticut River Bridge Replacement,"CT,Connecticut river,amtrak,rail,bridge",United States,"Old Lyme, Connecticut",Transport,Bridges,759,Public,2024-06-01,2030-06-01,,"Amtrak, Connecticut DOT, FRA",41.315932,-72.328971,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Old Lyme, Connecticut""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Old Lyme"",""adminArea5Type"":""City"",""adminArea4"":""New London County"",""adminArea4Type"":""County"",""adminArea3"":""CT"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""06371"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":41.315932,""lng"":-72.328971},""displayLatLng"":{""lat"":41.315932,""lng"":-72.328971}}]}]}"
3526,planning,NJ Transitgrid Traction Power System,"natural gas,NJ",United States,"Cassville, NJ",Energy,Generation — Natural Gas,554,Public,1111-11-11,2024-06-01,NJ Transit,NJ Transit,40.104558,-74.386538,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Cassville, NJ United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Cassville"",""adminArea5Type"":""City"",""adminArea4"":""Ocean County"",""adminArea4Type"":""County"",""adminArea3"":""NJ"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":40.104558,""lng"":-74.386538},""displayLatLng"":{""lat"":40.104558,""lng"":-74.386538}}]}]}"
3411,planning,Conflans Rd Extension,"Roadway,Extension,TX",United States,"Irving, TX",Transport,Highways,23,PPP,1111-11-11,2024-06-01,,TXDOT,32.829518,-96.944218,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Irving, TX United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Irving"",""adminArea5Type"":""City"",""adminArea4"":""Dallas County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":32.829518,""lng"":-96.944218},""displayLatLng"":{""lat"":32.829518,""lng"":-96.944218}}]}]}"
2518,planning,"Controlled Thermal Resources Lithium and Geothermal Project, Salton Sea","Geothermal Baseload Energy,Lithium Mine,Sustainable mining,Lithium production,CA",United States,"Salton Sea Mud Volcanoes, Niland, CA, US",Energy,Generation — Renewables,1040,Private,1111-11-11,2022-09-01,Controlled Thermal Resources,Controlled Thermal Resources Limited,39.78373,-100.445882,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Salton Sea Mud Volcanoes, Niland, CA, US United States""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":"""",""adminArea5Type"":""City"",""adminArea4"":"""",""adminArea4Type"":""County"",""adminArea3"":"""",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A1XAX"",""geocodeQuality"":""COUNTRY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":39.78373,""lng"":-100.445882},""displayLatLng"":{""lat"":39.78373,""lng"":-100.445882}}]}]}"
3688,construction,SL 335 Upgrades,"highway,upgrade,TX",United States,Amarillo. TX,Transport,Highways,350,PPP,2020-06-01,2023-06-01,TXDOT,TXDOT and Amarillo Metropolitan Planning Organization (MPO),35.207219,-101.833825,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Amarillo. TX""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Amarillo"",""adminArea5Type"":""City"",""adminArea4"":""Potter County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":35.207219,""lng"":-101.833825},""displayLatLng"":{""lat"":35.207219,""lng"":-101.833825}}]}]}"
3781,planning,Route 419 and Route 220 Diverging Diamond Interchange,"ddi,diverging diamond,Virginia,roanoke,rural,VA",United States,Roanoke,Transport,Highways,17,Public,2024-06-01,1111-11-11,,"VDOT, Roanoke Valley Transportation Planning Organization",37.274532,-79.96021,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Roanoke""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Roanoke"",""adminArea5Type"":""City"",""adminArea4"":""Roanoke"",""adminArea4Type"":""County"",""adminArea3"":""VA"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":"""",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":37.274532,""lng"":-79.96021},""displayLatLng"":{""lat"":37.274532,""lng"":-79.96021}}]}]}"
3564,planning,(TX) US 59 Upgrade Shepherd - Cleveland (FM 2914 - LIBERTY C/L),"highway,transport,texas,TX",United States,"Shepherd, Texas",Transport,Highways,116,,2020-06-01,2023-06-01,,TxDOT,30.497981,-94.996601,"{""info"":{""statuscode"":0,""copyright"":{""text"":""\u00A9 2020 MapQuest, Inc."",""imageUrl"":""http://api.mqcdn.com/res/mqlogo.gif"",""imageAltText"":""\u00A9 2020 MapQuest, Inc.""},""messages"":[]},""options"":{""maxResults"":1,""thumbMaps"":false,""ignoreLatLngInput"":false},""results"":[{""providedLocation"":{""location"":""Shepherd, Texas""},""locations"":[{""street"":"""",""adminArea6"":"""",""adminArea6Type"":""Neighborhood"",""adminArea5"":""Shepherd"",""adminArea5Type"":""City"",""adminArea4"":""San Jacinto County"",""adminArea4Type"":""County"",""adminArea3"":""TX"",""adminArea3Type"":""State"",""adminArea1"":""US"",""adminArea1Type"":""Country"",""postalCode"":""77371"",""geocodeQualityCode"":""A5XAX"",""geocodeQuality"":""CITY"",""dragPoint"":false,""sideOfStreet"":""N"",""linkId"":""0"",""unknownInput"":"""",""type"":""s"",""latLng"":{""lat"":30.497981,""lng"":-94.996601},""displayLatLng"":{""lat"":30.497981,""lng"":-94.996601}}]}]}"
